искать|искАть/поискАть; to look for
кататься|катАться/покатИться; to roll, wheel, row, go for a drive/ride
класть|клАсть/положИть; to place, put
одеваться|одевАться/одЕться; to get dressed
опаздывать|опАздывать/опоздАть; to be late/to already be late
отвечать|отвечАть/отвЕтить; to answer, reply to, assume responsibility
отдыхать|отдыхАть/отдохнУть; to rest, vacation, relax
получать|получАть/получИть; to receive, get, obtain
помнить|пОмнить; to remember
понимать|понимАть/понЯть; to understand, comprehend
посылать|посылАть/послАть; to send, dispatch, mail
ставить|стАвить/постАвить; to place, stand, put upright, put on (a performance)
учить|учИть/выучить; to study/to teach?
